rank,name,metric,value
178,Eritrea,population,3535603
179,Mongolia,population,3524788
180,Uruguay,population,3386588
181,Puerto Rico (US),population,3203295
182,Bosnia and Herzegovina,population,3164253
183,Armenia,population,3033500
184,Namibia,population,3030131
185,Lithuania,population,2888278
186,Qatar,population,2857822
187,Jamaica,population,2839175
188,"Gambia, The",population,2759988
189,Pacific island small states,population,2722467
190,Gabon,population,2538952
191,Botswana,population,2521139
192,Moldova,population,2402306
193,Albania,population,2377128
194,Lesotho,population,2337423
195,Guinea-Bissau,population,2201352
196,Slovenia,population,2127400
197,Equatorial Guinea,population,1892516
198,Latvia,population,1866124
199,North Macedonia,population,1824359
200,Kosovo,population,1594353
